Comment,Time
"Called confirmation bias. They find the media that will affirm their beliefs, then use it as proof their beliefs are facts. It’s the same reason so many watch Fox News, OANN, and Newsmax. Quantity doesn’t equal quality, unless you think McDonalds is a 5 star restaurant.",2022-04-27T17:05:38Z
What an L for pakman. Knowles was kind and have you the floor and you get dismissive. Petty,2022-04-26T03:53:40Z
This is simple IMO…'1. A Supreme Court justice is supposed to be apolitical ' unbiased. '2. Asking whether or the Supreme Court nominee can define a women shows whether or not she has a political bias. '3. She refused to answer ' that says EVERYTHING,2022-04-25T17:45:59Z
Pakman is taking it easy on the boy,2022-04-24T08:23:01Z
"Okay, but what is a woman??😂",2022-04-24T08:02:14Z
I’m not a meteorologist but I can tell you if it’s raining or not…'What type of rain is it? There are many differences in rain types.,2022-04-24T01:47:39Z
WTF…? The definition of a woman is a person who’s not a man???'That’s how basic the right are and also how misogynistic they are,2022-04-24T01:44:46Z
"This made you look horrible, David",2022-04-22T17:23:42Z
"All I can say - respect for Michael, his patience in these 'discussions' is admirable...",2022-04-22T16:35:38Z
How can any legal decisions be made if we can’t agree on definitions of words.,2022-04-22T13:59:54Z
"When sending someone to prison, how do you choose that, male or female prison",2022-04-22T13:51:31Z
I wanna know why this guy is so obsessed with this topic.  It IS boring. And it’s fucking weird.,2022-04-22T01:06:08Z
"Great discussion, appreciate the good hearted debate. It’s really refreshing to see.",2022-04-21T18:31:49Z
"As someone who would've liked to see David do well, he kind of embarrassed himself here",2022-04-21T11:01:34Z
I did rewind and David is exactly right: this guy openly lied about something he had just said.  Oy veh.,2022-04-21T07:51:40Z
David Pakman has autism,2022-04-21T06:47:53Z
Imagine posting a video of yourself getting roasted. Nice job!,2022-04-21T01:59:24Z
Yes the question has a legal bearing. 'The definitions is all that matters in law. You are right laws are supposed to be narrow however they can not be in practice if definitions change. 'You are right you do not do definitions you do politics. Scary.,2022-04-20T23:50:45Z
David you are bold for posting this. You got sweeped man.,2022-04-20T23:46:49Z
"PAC MAN !  You ate Wills lunch , thank you !",2022-04-20T23:44:19Z
"Of all people, David Pakman calling out senators for semantic tricks is hilarious. David’s entire game is acting polite and articulate whilst being disingenuous, condescending, and super righteous despite being a complete deplorable. The fact that he cares more about political strategy than truth shows all you need to know.",2022-04-20T18:52:07Z
I was always told not to use words I couldn't define.,2022-04-20T16:37:52Z
"PROscriptive David? You sure you didn't mean PREscriptive/Descriptive?  You are poorly stealing lines from @Destiny now. I'm glad I unsubbed.  However 'I don't do dictionary' is your downfall @David Pakman Show.   You used to be integral, but have been infected by the woke cult and are now sliding into obscurity.  Definitions are all we have to hold society together, you post modern deconstructivist piece of $'!t.",2022-04-20T16:29:34Z
"I actually did rewind the clip, and David was wrong. If you go back to 'https://www.youtube.com/watch?v=dwOSlwtyA_M't=6m35s"">6:35' , Michael states that Marsha Blackburn asked for the definition of a woman and begins to list the ways in which ketanji may choose to answer the question based on how open it was.",2022-04-20T04:47:41Z
David has a lot of patience. I’m constantly amazed at the asinine issues Republicans get obsessed with. Michael wasted that whole interview over some nonsense.,2022-04-20T01:24:19Z
There is a legal definition of 'Woman'...,2022-04-19T22:27:51Z
"I have to wonder if David Pakman has a learning disability and is just not capable of challenging conversation, or is just dishonest. At around around seven minutes Pakman says, you said she asked for a legal definition now you back tracking. Knoles never said that, he did give a list of several ways the answer could have been given. At 'https://www.youtube.com/watch?v=dwOSlwtyA_M't=7m20s"">7:20' packman is either that dishonest or as many times before he can't seem to process information in conversations to any real productive extent. The more I watch it feels like the former. But like Pakman I could be wrong.",2022-04-19T13:12:38Z
David got crapped on,2022-04-18T14:20:51Z
You showed a very rude attitude and having non-arguments beyond insult after insult. Michael showed to much patience to a person like you.,2022-04-18T13:16:22Z
Can't define one of the most important words in human language but wants to do politics. Very progressive indeed.,2022-04-18T02:44:46Z
she doesn't want to answer... that's it,2022-04-17T22:27:10Z
"If she can’t answer a simple question like that, it highlights how inefficient government is. I would have had more respect if she choose a side.",2022-04-17T17:38:09Z
At least he admits it didn’t go well for him,2022-04-17T17:22:56Z
Never seen packman get slayed like this. I enjoyed it.,2022-04-16T23:38:06Z
this guy so stupid ... its fun to watch this lamp light,2022-04-16T19:23:21Z
Man David is a clown. Without definition there is no politics.,2022-04-16T19:12:36Z
David is hostile.,2022-04-16T14:29:18Z
I like pakman and this disappointed me. He lost here,2022-04-16T04:54:04Z
Progressives have turned into clowns ever since 2016 turning this country red again,2022-04-16T03:06:12Z
They’re so desperate to hold on to this argument because they have ZERO policy ideas,2022-04-16T01:24:36Z
Well Done Michael ' still leftists cannot define a woman!,2022-04-15T22:15:48Z
"You did an amazing job shutting down the attempt of grandstanding.  The trumpublicans have no actual policy.  They will never really say any policy other than freedom, low taxes, and guns.. They have changed a lot since the 2000's Bush era Republican party where at least you can debate them.  Now it just seems like children throwing tantrums and trying to talk about the opponent not the policy.  It all reminds me of the movies Gladiator, when they say the way to keep the mob happy is give them blood.  They know this and make a show of everything. Thanks again.  Keep up the good work.  I have been thinking of starting up a channel.  Any tips?",2022-04-15T16:20:32Z
"David you deep inside you , you got roasted here.",2022-04-15T14:56:54Z
"🤣🤣🤣 'let's talk man to man' 🙃🙃😂 so we know what a man is, the mystery is what a woman is 🤣",2022-04-15T09:15:41Z
Michael looked genuinely confused as to why you were so combative when he was not.,2022-04-15T06:11:39Z
"David you came across like a crazy leftist.  If you were trying to sway people in the middle by going on a Right Wing show, you've failed spectacularly.",2022-04-15T06:08:41Z
"Not a fan of Knowles, but not a good look for Pakman here imo",2022-04-15T03:49:31Z
"If a woman can not be defined, who is the law referring to when it says women have the right to vote? Who are the progressives referring to when they fight for women’s body autonomy? Perhaps we should put on hold any rights protected for women until we can properly define what a woman is.",2022-04-15T03:26:37Z
Who doesn’t know what a woman is? While being a woman. Completely bananas.,2022-04-14T18:23:49Z
"Sorry Pakman, I don't think it went well for you. You were rude and you misrepresented what he said by taking it out of context.",2022-04-14T18:17:23Z
Michael Knowles won David lost.,2022-04-14T12:54:01Z
If you don’t care about the definition and meaning of words you are not based in reality,2022-04-14T12:49:20Z
"'i dont want you to think im playing the game where we ask you to define things, so let me ask you to define something''Yep. Thats the rightwing.",2022-04-14T08:39:25Z
What sort of deluded game are you playing,2022-04-14T07:48:25Z
"It's funny how a woman who was nominated on the basis of her being a woman, doesn't know what a woman is",2022-04-14T07:46:15Z
Doesn't go well (for Pakman)'Why would he share this? Is he actually so disconnected from reality he considers this a win? 'That's embarrassing..,2022-04-14T06:59:51Z
Knowles is a good host. He was a class act.,2022-04-14T05:25:32Z
"Knowles is such a hack.  Pakman was spot on.  Knowles is either dishonest or he's ignorant.  Considering he's able to get his own show, it's likely just dishonest.  He knows he's pushing bullshit and just doesn't care.  It's all about the $$$",2022-04-14T04:33:55Z
We need people on the supreme Court that interpret the Constitution as written.,2022-04-14T02:04:51Z
To be fair Michael is pretty sharp and comes across as a likeable person.,2022-04-13T23:41:39Z
"Pakman, stop with the crap! Just being a real genuine person.",2022-04-13T23:28:00Z
So.. a woman is a person that bears children and produce eggs?  I May be wrong but there are some women who can't do either are they still considered women or not?,2022-04-13T22:38:59Z
"LOL ' i don't do dictionary defintions', words convey meaning. In order to confirm we are refering to the same meaning and move forward in a conversation, we all abide by the definitions of the words in the english language. The purpose would be to avoid utter chaos where no one can decide which idea is better than the other idea. Have you ever tried to talk to someone about a math problem where one person thinks the word 'five' equals 2 and 'six' equals 3 when deciding how many slices of pizza a customer wants? 'Welcome to pizza pizza, How can I help you?' 'I would like five slices please!' 'Thanks for your business! Here's 2 slices! Have a nice day!' '....wait, i ordered five slices'. Meanwhile utter chaos ensues over the word 'five' and the number 5.",2022-04-13T22:03:43Z
Shut up lefti,2022-04-13T18:43:56Z
"That did not go as well as you thought bro. Also Appeal to Motive, really? Just answer the question.",2022-04-13T18:25:31Z
"IMO, the right answer would have been 'It depends on the context.'",2022-04-13T17:14:48Z
The fact that you think this makes you look good is hilarious.,2022-04-13T15:11:27Z
"I'm darn good at debating (I'm a liberal by the way), but I'd hate to be on the opposite end of a debate from David. He's darn good at what he does.",2022-04-13T04:15:17Z
I only liked this video cause I like Michael Knowles.,2022-04-13T00:45:31Z
"As much as I dislike Michael's take on things, it is pretty basic to understand that the definition of woman has legal relevance. That fact that you ignored that reflects badly on you. In order to have a good faith discussion on your part, you have to acknowledge that certain definitions actually do have legal ramifications, and this happens to be a relevant one at the moment. You have to be able to recognize the question, and admit it is an issue that needs addressing, regardless of what your opinion on it is.",2022-04-13T00:17:56Z
👏🏼👏🏼👏🏼👏🏼👏🏼,2022-04-12T23:53:30Z
I love that Jackson refused to define 'woman' and specifically said that she wasn't a biologist. That means she must adhere to a biologist's standard definition while she is on the court. She cannot state that she has the knowledge to make that decision without relying on experts who would provide a scientific definition from which she must decide any rulings on cases that come before the court.,2022-04-12T17:24:06Z
Mr Pakman thank you so much for making a spectacle of yourself on the daily wire. very entertaining! Hahaha I thoroughly enjoyed it.,2022-04-12T17:08:54Z
Does a dr go by weight and gender? I mean if a 250 pound man and a 250 pound woman have the same disease do they give you the same medicine based off of weight or muscle mass? Men have more muscle mass. I’ve never seen a 250 pound woman that was straight muscle but I have seen men 250 pounds straight muscle.,2022-04-12T14:26:05Z
