Comment,Time,Polarity,Sentiment,Subjectivity,Offensive?,Emotion
Was I the only one who thought his justification of protected classes was poor?,"2021-05-11
07:20:29",-0.0516,negative,0.8,No,neutral
Anger issues,"2020-11-03
15:58:26",-0.5719,negative,0.2,No,neutral
"'https://www.youtube.com/watch?v=KlbDJcsNTNo't=24m39s"">24:39' R.I.P to all the headphone users.","2020-09-19
15:04:06",0.0,neutral,0.0,No,neutral
"put the video on 2x speed and jump to 'https://www.youtube.com/watch?v=KlbDJcsNTNo't=24m27s"">24:27'. Prepare to ascend.","2020-09-07
23:50:03",0.0,neutral,0.0,No,desire
"Yeah tough shit Destiny, guess you have to start being nicer to people","2020-09-07
14:23:54",-0.29444444444444445,negative,0.8166666666666667,No,annoyance
"the seuzures Steven has sometimes look so cringe and infantile(like on 'https://www.youtube.com/watch?v=KlbDJcsNTNo't=24m40s"">24:40') i don't even...","2020-08-29
15:35:43",0.0,neutral,0.0,No,neutral
You are nothing more then a wanna be Destiny.,"2020-06-01
00:45:57",0.5,positive,0.5,No,neutral
Nazis shouldn't be defended. Period.,"2020-05-29
07:49:41",0.0,neutral,0.0,No,neutral
Why do you believe in protected classes?,"2020-05-28
17:24:12",0.4404,positive,0.0,No,neutral
Destiny got liberalized in this debate.,"2020-05-28
12:53:43",0.0,neutral,0.0,No,neutral
Doesn't Destiny's argument assume there are no racist employers and renters?,"2020-05-28
08:33:22",0.652,positive,0.0,No,neutral
Amy Cooper,"2020-05-28
04:39:43",0.0,neutral,0.0,No,neutral
never heard of you before. found this super interesting.  ill make sure to check you out,"2020-05-28
03:10:48",0.8633,positive,0.6851851851851851,Yes,admiration
"If Destiny really wanted to change public perception towards normalizing not firing racists, he should have debated this with someone dumber than Bastiat.","2020-05-28
00:44:07",0.3369,positive,0.13333333333333333,Yes,neutral
Destiny LARPed as a Jordon Peterson supporter in this debate,"2020-05-27
23:14:09",0.2732,positive,0.0,No,neutral
"TIL learned that Destiny sympathizes with Republicans who don't want to serve gay people cakes ' sympathizes with Nazis losing their jobs done being nazi on the own time(as if there's a proper time to being a nazi). So basically Destiny wants it both ways, but only for people on the right. The left makes Destiny  nervous because slippery slope 🙄","2020-05-27
23:11:47",-0.5516,negative,0.4741496598639456,No,annoyance
Bastiat was so based I can't believe Destiny was acting so contrarian. I doubt Destiny is against social capital as he portrays here. Social capital ' freedom of speech run hand-in-hand ' to say otherwise is to be selling you an idea. 'Does anyone think that Destiny is normalizing standing up for Nazis?,"2020-05-27
23:00:27",0.3477,positive,0.044444444444444446,No,approval
"Wtf Bastiat won!? ''https://www.youtube.com/watch?v=KlbDJcsNTNo't=31m50s"">31:50' (Steven is just practicing Bastiat's argument in that made up scenario).","2020-05-27
22:22:46",-0.4389,negative,1.0,No,neutral
"Damn, I love right to free speech and the free market, yet I'm totally on board with Destiny","2020-05-27
22:11:41",0.8442,positive,0.6971428571428572,No,love
"If we try to take the concept to both extremes and see which one is better, its easier to determine to which side you fall on right now. Let's say there's 100% of possible social consequences to being outed as a nazi, you lose your job, can't travel, can't get housing, etc. This becomes troubling because I believe people can change and they deserve at least some level of moral consideration. However, the benefit of this system is that deplatforming nazis prevents them from raising to power, which is an incredible net positive.'On the other hand, if nazis weren't shunned, and there was 0 social repercussions, this would only bolster their movement and make it more likely that they gain power. If they gain power the consequences of that are immense and would probably destroy this country (0 immigration, ethnostate, etc). Also they would censor freedom of speech enforced by the state. So the net result of allowing their speech and having absolutely 0 social consequence is devastating.''I tend to lean pretty left, so in the first scenario I would also suffer if I'm outed as communist, but I much rather live in a neoliberal hellscape with social censorship and corporatism than a country built by nazis","2020-05-27
21:58:26",0.6808,positive,0.45224675324675323,Yes,admiration
"How dumb is my idea? USOPS: united stated online public square. Nobody gets banned, requires some crazy level of verification (SSN or something), operates like twitter but everyone’s user names are their actual names and profile pictures are a picture of them, no alt accounts, city/ state attached to profile. Nobody can cry about being silenced, but you are held accountable for your posts","2020-05-27
21:50:37",-0.8462,negative,0.3916666666666667,Yes,neutral
Rawlsians have been harrassed by Bastiat in this debate.,"2020-05-27
21:30:25",0.0,neutral,0.0,No,neutral
I have absolutely no issue with your employer or landlord or etc seeing a video of you online doing something bad and then them choosing to exclude you from their services. It's more of a 'should a motivated mob calling your employer or landlord and telling them to kick you out be considered a form of harassment?' thing.,"2020-05-27
21:28:33",-0.8122,negative,0.6888888888888888,Yes,annoyance
Bastiat got called a neoliberal shill on this debate,"2020-05-27
21:22:20",0.0,neutral,0.0,No,neutral
One of these days Destiny is gonna have to stop orbiting Bastiat.,"2020-05-27
21:13:22",-0.296,negative,0.0,Yes,neutral
I honestly can’t make up my mind on this issue,"2020-05-27
21:07:03",0.4588,positive,0.9,No,neutral
