Comment,Time
"If someone strikes a pregnant woman such that she miscarries, shouldn't the perpetrator be charged with manslaughter? If it was intentional, is it not murder? So, how is it suddenly 'not' murder when the perpetrator is the mother?",2022-04-27T09:51:05Z
"If this was 'self-induced' how did the 'law' find out about it?.  was it actually a miscarriage,and again, who involved the law?",2022-04-25T01:47:36Z
"It’s amazing that the people who cried the loudest about having to wear a mask or getting a vaccine fail to recognize the cognitive dissonance of having the government telling women what they can do with their bodies? For me, it was easy to reconcile. If you didn’t want to wear a mask or get a vaccine, then you live with the informed decision when you contracted Covid and risked death for you and your families.",2022-04-24T14:48:07Z
Worst country ever.,2022-04-24T11:16:56Z
"Of course, the Supreme Court will overturn Roe V. Wade.  Cony-Barrett thinks God put her on the court to get that done.",2022-04-23T21:23:09Z
She did nothing wrong,2022-04-22T15:30:55Z
"Pregnancy unless planned will not be an open topic. Women, young women, teenagers who do not expect to get pregnant but through some kind of interference in their lives become pregnant will keep the information quiet. Back to underground abortions. Crimes will go unreported and the guilty will be free to harm more women. This is a huge problem.",2022-04-22T10:14:54Z
I grew up in a red state and used to be anti-abortion or pro-life before I realized that the left has FAR better arguments on the abortion issue. Republicans are so extreme they won't even make exceptions for if a woman's life is endangered by her pregnancy. They've never seemed to have a problem with letting people die once they're born.,2022-04-21T04:27:34Z
Texas does not run Texas. The Church runs Texas like it does many other states. The Church just flexes in Texas first to set the precedent and take it on the road across America.,2022-04-21T01:05:43Z
"Texas is slowly turning Blue, so moving out would be counter productive. Best to wait it out.",2022-04-20T20:18:32Z
Boycott texas!,2022-04-20T16:56:27Z
F Abbott and Texas,2022-04-20T16:53:00Z
"I keep seeing memes about getting support or taking an insurance policy or collecting child support at 6 weeks because the opposition is saying that’s when life begins why aren’t people actually doing that and fighting? Yes it’s ridiculous but so is this 6week thing, I also see folks doing this potentially to fight “don’t say gay” legislation with the idea that it’s weaponized and ridiculous.",2022-04-20T06:00:10Z
Just another avenue for the machine to doom people to poverty.,2022-04-20T03:19:42Z
"With such parameters,only fair to be sure to charge the dude who got her in that condition to begin with...eh?",2022-04-20T02:20:05Z
Freaking terrifying!! Next  the GOP will be charging women with murder when they have misscarried! Insanity! Get serious about getting these loons out before they are successful in crushing the Democratic process entirely and we are out of options!,2022-04-20T02:17:26Z
wasnt that just his side deal with old paster kanye,2022-04-20T01:42:10Z
El Salvador comes to the U.S. ? what a sh1t show,2022-04-19T20:46:29Z
People should leave Texas because it is a shithole. That was true before this law was passed.,2022-04-19T16:59:28Z
Don Corona finally saying the quiet part out loud (punish the woman) is all that was needed for the Republicans to unseal what they have always wanted (to punish women).,2022-04-19T16:56:56Z
pretty sure they dropped the charges!,2022-04-19T15:12:48Z
How do you know she is a woman?,2022-04-19T05:13:24Z
"I am ashamed of we barbarians. We've devolved to the draconian ways of the dark ages. And so ironic, distorted, unnecessary, dissonant, and partisan. Such shame for my American self.",2022-04-19T04:48:28Z
"You're welcome, Joe Rogan. 'Hope your daughters enjoy living in this 'Classically Liberal' Hellscape.",2022-04-19T03:47:05Z
"You're kidding me! OMG! How far along was she? This is just ridiculous. Also what about the guy that she was in this situation with? By their logic, shouldn't he be punished also? I mean if it really is a living baby oh, isn't he also responsible for it? No, because they are misogynistic",2022-04-19T01:20:30Z
"Just want to thank (seriously) for a deleting a comment I made earlier. It was an angry comment directed at conservatives. I had surgery earlier today and my brain is still coming off anesthesia and I'm not using my better judgment, I actually came back here to delete it myself. Thank you again for deleting it.",2022-04-18T23:38:02Z
"When did David get a role in Handmaid’s Tale?'Oh, this is real life. Sorry, I couldn’t tell the difference.",2022-04-18T23:23:24Z
And so it begins......😞,2022-04-18T22:43:17Z
"They aren't stopping abortion, they're just making it dangerous",2022-04-18T22:38:49Z
"Now we have a law in Wisconsin where a rapist has the right to force the victim to have the baby even if shes underage. This law applies to all females regardless of age. When an example was brought up what if a 10 year old child gets raped and impregnated, the republicans in that state said 'Too bad.' republicans are truly evil and heartless. This is insane. Not to mention they lowered the penalty for rape to a maximum of 5 years while any doctor who gives an abortion even if its for an ectopic pregnancy will get 10 years in prison. What the hell kind of backwards law is this? They actually tried to legalize rape on several occasions in different red states. What the FUCK are the republicans doing?!",2022-04-18T22:12:03Z
I thought they backed the charge out... didn't they??,2022-04-18T22:06:08Z
"I tell you American people more of  this is going to happen these women are going to have an self-induced abortion in Texas everywhere where the Republic has took the rights of the woman's choice to what she wants to do with her body these white old men racist who sit up there don't know nothing about a woman's body the Republican have decided they take your rights away as a woman that's what they want to do a lot of pregnant teens in Texas every Republican states is bursting with pregnancies and they giving the babies up for adoption some are self-indulgent abortion babies are dying are getting murdered the Republicans are forced women to have these babies from rapist and child molesters the mothers will hate these babies these babies will die women will keep this a secret they will not tell anyone because they know about if they tell anybody they get that $10,000 or they'll send the woman to jail so now they're going to be doing it secret oh my God this is terrible I'm crying everyday for women and these Republican think that they're have the right to the woman's body people please we have to vote blue blue blue blue you have to come out and vote the Republicans had to be stopped they are killing the American women and destroying democracy they're dangerous the women don't want the babies the Republicans are going to pay for this",2022-04-18T21:12:14Z
This is so backwards. This poor woman was forced to have an unsafe abortion and then charged with murder for society’s failings.,2022-04-18T21:00:02Z
"It is time for Texas to get on the safe sex education road.  Here in Canada, especially in Southern Ontario, you will find condoms at any of the Heath Units or sub-offices, as well the high schools in my area have baskets of condoms available throughout the school or office.  Just help yourself no questions asked.  They also teach safe sex as early as grade school.",2022-04-18T20:12:02Z
"Women will need to undergo  pregnancy tests when they cross State lines, or leave the country, AmeriKa FreeDumB.",2022-04-18T19:06:05Z
So NOW it will be fully tested in a court of law - which has already been done in the Supreme Court and upheld.,2022-04-18T18:46:25Z
Could pressure Biden into a pardon? This is fucking insane.,2022-04-18T17:51:42Z
"It would great if the republikkkan party moves to Afghanistan, their draconian laws are against freedom, with them it seems as though it's open season on women, are we that far from burkhas, forced marriages and male chaperones? they are chipping away at citizens fundamental rights, it's very disheartening, is this truly freedom loving America?",2022-04-18T17:37:51Z
"And they talk about individual rights, ffs. Reproductive rights are some of the most inalienable rights we have, for men and women alike",2022-04-18T16:50:41Z
"The cure to abortion is MEN. Force a woman to take an unwanted pregnancy to term? Fine. Then, when the child is born, take it to the sperm donor, give him one diaper and an 800# to call for advice.'Watch them scramble to pass pro-abortion legislation.",2022-04-18T15:02:38Z
I would nit wish the life of a ny political test case on a worst enemy. I hope she wins her freedom before losing too much of he rife and that she is compensated by thes ecological groups callously playing g wuth her lfe like that,2022-04-18T14:41:34Z
"This whole story is absolutely disgusting in every way possible and shows everyone else in the world exactly what is wrong with america...too many religious nut jobs (even though there is a separation of church and state)...too many bigots, white supremacists, racists and self-entitled idiots who think that their views are the only allowed views. The fact that charges were dropped is irrelevant as this woman shouldn't have been charged in the first place. I really want to see this go on and on with this woman taking EVERYONE to the supreme court, if she has to, to ge an apology, compensation and this ridiculous law thrown out of the statutes. Maybe Elon Musk should pay for her legal costs, since he is so hot on people's freedoms!",2022-04-18T14:09:42Z
Why can I see a home being raided by the SWAT team just because a woman had a miscarriage......,2022-04-18T13:51:19Z
On the road to the Divine Republic of Gilead!,2022-04-18T13:05:46Z
Texas the newest most oppressive regime!,2022-04-18T11:43:14Z
Good! Hope they throw the book at her,2022-04-18T11:41:27Z
"This is what always confuses me. You want to ban abortions ( imho i dont like abortions and it should be avoided as much as possible) but you provide limited and costly access to (contraception) its messing up the hormones but its a free and conciences decision, the guy should always rubber up anyway duh. You have close to zero sex education on your schools why lol?'''Now from clearly selfish reasson, i dont have the numbers but i would assume that its mostly 'lower class' familes that needs abortion (apart from rape why is that even a question) Why would you want them to have kids if they cant affort them and you do not support them with any social programs? Poor people with more kids makes them more poor, uneducated (no free good 'schools lol?) and you are in circle which leads to more crime. ''Maybe these people vote republicans?",2022-04-18T10:16:44Z
Stop voting for the politicians putting these laws in place.  You are voting for your own rights and protection from religious neo conservatives and their MISOGYNY...Stand and fight 🤘,2022-04-18T09:43:25Z
"This is so stupid. Even if the fetus was viable, IT'S STILL HER BODY!!! She's the actual person already living here on earth. It's her body. It's her body. It's her body. That's the only thing that matters at all. The fetus can't live without the mother. Her body, her choice until the moment the fetus is born and here on earth living on its own outside of the mom's body.",2022-04-18T09:08:11Z
"And the march towards living in the realm of the ‘Hand Maidens Tale’ continues.  The more I listen about the general life of those in the United States, the more I realise how much is so, so wrong with the place.",2022-04-18T08:22:40Z
How can she be charged by the State for doing something the Federal Government Laws allow? As far as I know Federal Law overrides State Law.  If they have their way the Supreme Court will fix that even though a majority of citizens don't want that to happen.,2022-04-18T07:46:34Z
These people are impervious to evidence.,2022-04-18T07:38:09Z
What the hell is going on America??? Completely disgusting on every sense.,2022-04-18T07:15:40Z
"'I can make a complete solid argument AGAINST abortion, VOID' of ALL religion '=)' the BIG question is, does anyone REALLY want to hear it?? '=)'",2022-04-18T07:06:43Z
Lol this is so funny 🤣 😂 😆  more to come hopefully. 🤣 I hope she gets life.,2022-04-18T03:47:12Z
Notice the woman charged is minority.,2022-04-18T02:37:28Z
They’ll start arresting women for having miscarriages.,2022-04-18T02:34:39Z
"Yes, ridiculous that this could happen but it's a bit disingenuous of DP to NOT make it clear the charges were dropped.",2022-04-18T02:26:31Z
Unbelievable.,2022-04-18T01:33:07Z
